"item_no","brief_description"
"7159","ER32 3/4 SEALED COLLET"
"7160","1-1/2 ER32 STRAIGHT SHK COLLET CHUCK"
"7162","EDP#19559    INSERT"
"7168","17.2 DIAMETER HOLDER : SECONDARY"
"7171","37.19 MM DIA - 46 MM C'BORE"
"7172","33.4 MM DIA - 38.1 MM C'BORE"
"7175","FACE 52.2 MM CHAMFER 31.62 MM"
"7176","FACE 56.4 MM CHAMFER 36.07 MM"
"7178","FACE 59.4 MM CHAMFER 39.4 MM"
"7179","36.62 MM DIA - 46 MM C'BORE"
"7182","3/D DRILL BODY SIZE RANGE 22.00-23.99"
"7183","PRESET TORQUE PLUS HAND DRIVER"
"7184",".921 GEN 3 BLADE"
"7185","SCREWS"
"7186","SCREWS"
"7187","18 SERIES DRILL BODY 18.00-19.99"
"7188",".758 GEN 3 BLADE"
"7189","17.2 GEN 3 BLADE C2 CARBIDE #080423-21"
"7190","PRESET TORQUE HAND DRIVER"
"7203","INSERT SCREW FOR KS33SNH1103"
"7205","STFCR 10CA-11"
"7206","TCMT21.50.5-F1 CP500"
"7209","FACE 42.8 MM CHAMFER 36.3 MM"
"7221","EDP #04255 - 12 MM HIGH POLISH INSERT"
"7223","17.1MM C2 GEN3SYS AM200 BLADE (080512-30)"
"7224","16.27MM GENSYS BLADE"
"7225","SPECIAL LH TOOLHOLDER"
"7226","SPECIAL LH TOOLHOLDER"
"7231","3/16  4FL END MILL"
"7237","GEN 3 TOOL BODY 16.00MM"
"7240","FLAT WASHER"
"7248","MDT ID BAR"
"7250","CLAMP SCREW"
"7251","TOOL BODY"
"7252","INSERT-KM# 3583564"
"7253","9.0MM DIA DRILL"
"7255","6.7MM DIA 13.35MM LENGTH OF CUT"
"7260","BRASS CLAMP HEAD BUTTON"
"7262","13.1 MM DRILL"
"7266","Ref Busche part # 3877L61 ;  60.975/61.025"
"7267","Ref Busche part # 7580L85:  85.950/86.050"
"7268","Ref Busche part# 993L71.5; 71.45/71.55"
"7270","Ref Busche part # 6473L83;  82.95/83.05"
"7271","Ref. Busche part # 7580/995M76;  75.95/76.05"
"7272","Ref. Busche part # 3877M68.5;  68.45/68.55"
"7273","Ref. Busche part # 993M68;  67.95/68.05"
"7274","Ref. Busche part # 5756M76.4;  76.35/76.45"
"7275","Ref. Busche part # 5757M81.4;  81.35/81.45"
"7276","Ref. Busche part #5567L60;  59.925/60.075"
"7277","Ref. Busche part # 5568L74.75;  74.675/74.825"
"7278","Ref. Busche part # 5570L58;  57.9257/58.075"
"7279","Ref. Busche part # 57565/5757L90;  90.2/90.3"
"7286","17.5MM C2 BLADE AM200 (080425-8)"
"7290","V70-361 SEAL"
"7292","SEALS"
"7293","CARTRIDGE"
"7297","FACE GROOVING TOOLHOLDER"
"7314","GRADE HB-110/10% MICROGRAIN"
"7317","test"
"7319","EDP# 26322"
"7320","EDP# 26327"
"7330","SEAL KIT FOR 15-0618-00"
"7333","END EFFECTOR (COUNTERWEIGHT)"
"7340","YELLOW INK PENS (TURBOS)"
"7342","RADIAL ADJUSTING SCREW"
"7344","CLAMP SCREW"
"7345","LOCK PIN"
"7346","SHIM"
"7351","CLAMP"
"7353","CLAMP SCREW"
"7354","SEAL KIT FOR 20-0115-00 CYLINDERS"
"7356",".890 DRILL INSERT (080512-45)"
"7359","MALE COUPLERS"
"7360","FEMALE COUPLERS"
"7361","CYLINDER"
"7363","SINGLE ACTING BLOCK"
"7364","SWING CLAMP"
"7365","CYLINDER"
"7369","RETAINER PIN RINGS"
"7374","19.1MM EM holder 146.1MM projection CAT50"
"7380","EXTENSION FOR ACCORD ASSEMBLY MACHINE"
"7381","PENCIL GRINDER TIP FOR HARLEY"
"7382","RDU CRUSH ROLL DRESSER"
"7383","CYLINDERB - LH"
"7386","HANDLE FOR JD WELLAND FIXTURE"
"7391","INSERT  EDP 77576"
"7396","M20X1.5"
"7397","TAP"
"7398","M8X1.25"
"7400","M12X1.5"
"7413","CYLINDER CARTRIDGE MINI"
"7420","HOLDER"
"7423","MODIFY TO M-1085       EDP 07853"
"7424","18.42-18.52MM DIA. 25.54 LENGTH OF STEP"
"7425","BORING BAR"
"7426","M8X1.25 TAP STEP DRILL"
"7430","EDP#18994 (8.6MM DIA)"
"7434","INSERTS"
"7435","DA100 14MM COLLET"
"7437","INSERT"
"7439","INSERTS"
"7440","INSERT"
"7441","INSERT"
"7442","INSERT"
"7443","INSERT - replaced W2942010.0861"
"7444","INSERT -  REPLACED W2950010.0461"
"7445","DA100 EXTENSION"
"7446","COLLET EXTENSION"
"7447","CAT 40 HOLDER"
"7458","MP700 PROBE CONNECTION UNIT"
"7461","LOCKING RING .140 X 1.687 OD"
"7462","LOCKING PIN .185 X 1.45 LONG"
"7464","2.913 +/-.004 COLLETS"
"7465","3.444 +/-.004 COLLET"
"7470","22MM SPOTFACE HEAD"
"7471","SPOT FACE TOOL BODY"
"7472","60MM REAMER"
"7473","8.12MM REAMER"
"7474","60MM ROUGHER"
"7475","INSERT: EDP# 31621"
"7476","ER16 COOLANT COLLET"
"7477","ER16 COOLANT COLLET"
"7478","4.0MM DIA DRILL"
"7480","12MM DRILL COMBO 25MM and 37MM LENGTH OF STEP"
"7481","10 MM DRILL COMBO 1.5 MM LENGTH OF STEP"
"7482","M6X1 STEP DRILL 16MM PROJECTON"
"7484","32MM HYDRAULIC CHUCK"
"7486","EDP# 41126"
"7487","CLAMP EDP# 18322"
"7488","RMC S-34"
"7490","SEAL KIT FOR 15-1113-01"
"7497","EDP#72374"
"7499","INSERT SCREW"
"7503","INSERT EDP 36270"
"7508","3/4 SQ W/18MM POINT SOCKETS FOR SHANKS"
"7509","SEAL KIT FOR 15-0218-0002"
"7510","INSERT SCREW"
"7511","20MM SPOTFACER"
"7512","FINISH MAIN BORE"
"7513","ROUGH MAIN BORE"
"7514","FINISH BORING TOOL"
"7515","FINISH BACK BORE"
"7516","FINISH BORE"
"7517","SPECIAL SPOTFACE HOLDER"
"7520","FINISH BORE"
"7521","ROUGH BACK BORE"
"7522","ROUGH BORE TOOL"
"7523","ROUGH BORING TOOL"
"7524","PALLET MODULE  SAME AS 56-0005-24 &09"
"7528","M12X1.5 STEP DRILL 29.5MM LENGTH OF STEP"
"7530","CLIPS TO HOLD STAMPS IN PLACE"
"7531","AIR GUN FOR STAMPS"
"7538","INSERT SCREW"
"7539","INSERT SCREW"
"7542","INSERT SCREW"
"7543","BORING TOOL"
"7544","CARTRIDGE"
"7546","FINE BORE CARTRIDGE"
"7547","INSERT SCREW"
"7548","CARTRIDGE"
"7549","FINE BORE CARTRIDGE"
"7551","CARTRIDGE"
"7552","CARTRIDGE"
"7554","ROUND GRIPPER"
"7555","SPRING LOCATING PIN"
"7557","SPECIAL FORM INSERT"
"7559","CLAMP ARM FOR 15-2718-00"
"7563","8.03 EXPANDABLE REAMER"
"7565","SEAL KIT FOR 20-1110-04"
"7566","SEAL KIT FOR 56-0005-07"
"7567","SEAL KIT FOR 20-1108-00"
"7569","SEAL KIT FOR 20-2115-04"
"7570","SEAL KIT FOR 15-0509-08"
"7571","SEAL KIT FOR 15-2113-01"
"7574","REAMER HOLDER-12MM SHANK"
"7575","8MM INDEXABLE REAMER"
"7580","TRACK GUIDE BUTTONS"
"7590","MODIFIED 3/8 ENDMILL"
"7591","MODIFIED 7/16"" ENDMILL"
"7592","8MM G-DRILL"
"7593","10MM G-DRILL"
"7596","CYLINDERS"
"7597","SEAL KIT FOR 20-0105-07 CYLINDER"
"7599","M22 STEP TAP DRILL"
"7604","SLIP YOKE LOCATOR BUTTON"
"7605","SLIP YOKE LOCATOR BUTTON"
"7606","SEAL KIT FOR 10-0715-05"
"7612","EDP 76231   INSERT"
"7617","PART DIAMETER (3.149"" - .001"") COLLET"
"7618","COUNTERWEIGHT GRIPPER"
"7626","CV50 BORING BAR"
"7629","1/4MPT X 1/2 AIR FITTINGS"
"7630","GREEN PAINT MARKERS"
"7631","WHITE PAINT MARKERS"
"7632","BLUE PAINT MARKER"
"7634","RED PAINT MARKER"
"7646","SEAL KIT FOR 10-0808-06 & 10-0708-06"
"7655","MICRO ADJ. CARTRIDGE"
"7658","SLIP YOKE DATUM BUTTON 2 HEIGHT .930"""
"7661","13MM 3X GEN3 SYS HOLDER 34/4 CYL"
"7664","G3SYS AM200.534 SPURPPT"
"7665","ECCENTRIC LINER"
"7673","2.390 SEALED COLLET FOR PLANT 7"
"7678","SEAL KIT FOR 21-0108-08"
"7680","SPECIAL LH TOOL HOLDER SIMILAR TO CT-54380"
"7681","INSERT  EDP 64715"
"7682","SLEEVE"
"7684","INSERT"
"7685","BORING BAR"
"7686","COLLETS"
"7691","SPEEDGRIP COLLET"
"7695","32MM EM HOLDER 101.6 MM projection CAT40"
"7696","25MM EM holder 98.4MM projection CAT 40"
"7698","6.8MM DIA 13.8MM LOC G-DRILL CHAMFER DRILL"
"7699","6.8MM DIA 16MM LOC G-DRILL CHAMFER DRILL"
"7700","8.5MM DIA 20MM LOC G-DRILL CHAMFER DRILL"
"7701","M10 X 1.5 DIN SHANK TAP"
"7703","12MM HYDRAULIC SLIM LINE HOLDER"
"7706","INSERT SCREW"
"7710","32MM SPOTFACER"
"7711","30MM SPOTFACER"
"7712","12.0MM 5XD DRILL"
"7715","GARTER SPRING"
"7716","RETURN SPRING"
"7717","JAW"
"7718","ROUND JAW"
"7719","GARTER SPRING"
"7720","RETURN SPRING"
"7721","JAW"
"7722","ROUND JAW"
"7723","FIXTURE COMPONENT"
"7725","COLLET"
"7726","PRESSURE FITTING FOR ACCUMULATORS"
"7727","FIXTURE CYLINDER"
"7732","GARTER SPRING"
"7733","RETURN SPRING"
"7734","JAW"
"7735","ROUND JAW"
"7736","GARTER SPRING"
"7737","JAW"
"7743","6"" FACEMILL"
"7744","FACEMILL INSERTS: EDP#31813"
"7747","LIVE CENTER"
"7751","18.00MM DRILL TIP FOR CAST IRON"
"7752","16.0MM DRILL TIP"
"7753","SOCKET ASSSEMBLY PIN - 08 ACCORD ASSEMBLY"
"7754","SOCKET ASSEMBLY PIN - 08 ACCORD ASSEMBLY"
"7755","KEY FOR SOCKET ASSEMBLY - 08 ACCORD"
"7756","ROLL PIN FOR SOCKET ASSEMBLY - 08 ACCORD"
"7757","8MM SOCKETS FOR 08 ACCORD"
"7758","10MM SOCKET FOR 08 ACCORD ASSEMBLY"
"7760","CAP FOR T90 CN 3.5 ANGLE HEAD"
"7761","RETAINING SLEEVE FOR T90 CN3.5 ANGLE HEAD"
"7762","RELEASE PIN FOR T90 CN 3.5 ANGLE HEAD"
"7763","COOLANT THRU TYPE W/ TAPERED HEAD (3.5 size)"
"7764","SPRING FOR T90 CN 3.5 ANGLE HEAD"
"7769","31/64 DRILL"
"7778","SPRING STOP BUTTONS"
"7780","AUTO SHUT OFF - REPLACED 03"
"7783","RETAINING COLLAR-15/16-16 THRDS"
"7784","ASSEMBLY ADAPTER 7/16-20 SAE 4"
"7785","11/32 DRILL"
"7787","FINISH BORE TOOL"
"7789","COOLANT RING"
"7790","COLLET"
"7791","COOLANT MINI NUT"
"7796","SJ6F INSERT"
"7801","EZ TWEAK SCREW"
"7802","AXIAL ADJ SCREW"
"7806","RADIAL ADJ. SCREW"
"7807","CARTRIDGE"
"7808","SHIM"
"7809","SHIM SCREW"
"7810","CARTRIDGE"
"7811","SHIM SCREW"
"7812","FINISH BORE"
"7814","FINISH BORE"
"7815","FINISH BORE"
"7816","FINISH BACK BORE"
"7817","ROUGH BORE FINISH CHAMFER"
"7818","ROUGH AND FINISH BORE"
"7819","ROUGH AND FINISH BACK BORE"
"7821","EZ TWEEK ADJ. SCREW"
"7822","SPECIAL CARTRIDGE"
"7823","INDEXABLE TOOL"
"7826","38.1MM EM holder 114.3MM projection CAT50"
"7827","2.312"" 2 X D INDEXABLE DRILL"
"7828","2.062"" 2 X D INDEXABLE DRILL"
"7829","M10 X 1.5 D6 4FL BOTT TICN"
"7830","M8 X 1.25 D5 BOTT TICN"
"7831","M12 X 1.75 D6 4 FL BOTT TICN"
"7832","HEX BIT 3/8 X 6MM"
"7835","SEAL KIT"
"7846","LEFT HAND TURBO INSERT"
"7848","RELAXED SEALED SLOT COLLET"
"7849","SPRING STOP CONTACT BUTTON"
"7850","REST BUTTON"
"7852","B SPLINE WRENCH"
"7854","DEBURR TOOL FOR 08 CIVIC"
"7855","T-NUTS FOR B208 CHUCK"
"7856","INSERT   EDP 27187"
"7858","EDP# 78866"
"7859","INSERT"
"7863","FOR HARLEY FIXTURES"
"7864","INSERT  EDP 15889"
"7868","CYLINDER"
"7872","REST BUTTON"
"7876","2"" PLUNGE MILL"
"7884","OKUMA MA50/MA500/MA60/MA600"
"7885","Makino A-71"
"7886","TOYODA FA630"
"7891","OKUMA MA40/MA400 VARIAXIS"
"7893","SCREW"
"7894","SCREW"
"7899","TURBO LEAK TESTER SEAL"
"7900","3/16  X 3  LX CLEVIS HARD  CORE PINS"
"7902","INSERT   EDP 77666"
"7917","SYIC-22311-N"
"7926","SEAL KIT FOR 10-0815-05"
"7929","ADJUSTING SCREW M10 X 1.0 X 14"
"7941","ADJUSTING SCREW W/THRU HOLE"
"7947","COLLET PAD CLAMPS"
"7948","M-CLASS LEAK TESTER SEAL"
"7949","TURBO LEAK TESTER SEALS"
"7950","06 CIVIC DIAMOND PINS"
"7951","PRESSURE SCREW FOR CAPTO HYRO CHUCK"
"7953","SEAL KIT FOR 15-0113-11/15-0513-11"
"7955","SEAL KIT FOR 15-2109-01"
"7956","SEAL KIT FOR 15-0118-00"
"7958","SEAL KIT FOR 16-6116-00"
"7961","QUAD DRILL"
"7963","BRONZE BRG FOR 6K/7K FIXTURES"
"7964","BUNTING BRG FOR 6K/7K"
"7972","FOR SPRING HANGERS"
"7973","SPRING LOCATORS"
"7974","GRINDING WHEEL GD320R125BP"
"7978","FINISH BORE"
"7979","INSERT   EDP 14266"
"7980","M CLASS LEAK TESTER SEAL"
"7982","25MM GEN3SYS INSERT"
"7983","25MM GEN3SYS DRILL BODY"
"7987","WASHER FOR HARLEY (URETHANE)"
"7988","INSERT"
"8000","ECCENTRIC LINER"
"8001","#405 WOODRUFF KEY"
"8002","TURBO CAM ARMS"
"8003","SPEEDGRIP COLLET"
"8004","OLD FORD YOKES FINGERS"
"8005","LOCATOR"
"8009","INSERTS  EDP# 31722"
"8011","12MM X 3 GEN3SYS HLD"
"8012","12.5 DRILL TIP"
"8014","1"" INDEXABLE ENDMILL EDP# 45379"
"8022","CLAMP ARMS"
"8029","LOCATOR"
"8030","CLAMP ARMS"
"8035","CERMET INSERT"
"8036","REVERSE TAPER NOSE"
"8041","EDP# 39999"
"8043","FACEMILL"
"8044","FACEMILL   - EDP 43721"
"8045","INSERT EDP# 43515"
"8046","FACEMILL"
"8048","FACEMILL"
"8051","DRILL: EDP# 17968"
"8056","INSERT"
"8057","1"" RADIUS SLOT CUTTER"
"8060","3/8"" BALL NOSE ENDMILL"
"8061","ACCUPRO COLLET-ER 32 (11-12MM)"
"8062","COLLET-ER 32 (7-8MM)"
"8063","ACCUPRO COLLET- ER 32 (16-17MM)"
"8064","TOOLHOLDER    EDP 73937"
"8065","BORING BAR"
"8067","TORX SCREW"
"8079","GAUGE PLUG FOR HONE"
"8080","GAUGE PLUG FOR HONE"
"8081","GAUGE PLUG FOR HONE"
"8082","GAUGE PLUG FOR HONE"
"8083","GAUGE PLUG FOR HONE"
"8084","GAUGE PLUG FOR HONE"
"8085","GUIDE BUSHING"
"8086","GUIDE BUSHINGS"
"8087","GUIDE BUSHING"
"8088","GUIDE BUSHING"
"8089","GUIDE BUSHING"
"8090","GUIDE BUSHING"
"8091","GUIDE BUSHING"
"8092","HONE TOOL"
"8093","HONE TOOL"
"8094","HONE TOOL"
"8095","HONE TOOL"
"8096","HONE TOOL"
"8097","HONE TOOL"
"8098","HONE TOOL"
"8100","DIAMOND SIZER"
"8101","DIAMOND SIZER"
"8102","DIAMOND SIZER"
"8103","DIAMOND SIZER"
"8104","DIAMOND SIZER"
"8105","DIAMOND SIZER"
"8106","DIAMOND SIZER"
"8107","DRILL TIP REPLACES 5C229H-32-C1"
"8108","DRILL BODY"
"8109","ROUGH AND FINISH STATOR BORE HOLLOW MILL"
"8113","1 1/8 X 12 BOTTOMING TAP"
"8118",".250 X 12D DRILL"
"8120","TORX SCREW"
"8121","INSERT-per quote QQ122719"
"8122","INSERT"
"8123","SQ. SHANK TOOLHOLDER LH"
"8124","BORING BAR LH"
"8125","1 1/4 X 1 1/2OD TOOLHOLDER BUSHING"
"8126","3/4ID X 1 1/2 OD TOOLHOLDER BUSHING"
"8127","INSERTS: WDP# 07347"
"8128","MILLING INSERT"
"8131","8.4MM DIA STEP 9.5MM W/ C'BORE 17MM DIA LOC17.98"
"8132","FINISH STATOR BORE"
"8133",".500"" REAMER .37 DEPTH"
"8134","BACK SPOT FACE"
"8135","5B/16 X 18 DRILL AND CHAMFER"
"8136","1.046 BORE AND CHAMFER"
"8137","3.4975 ROUGH AND FINISH BORE W/CHAMFER"
"8138","DRILL CHAMFER FOR 10-24 TAP"
"8139",".500"" REAMER .28"" DEPTH"
"8140","1.380 FINISH BORE AND CHAMFER"
"8141","1/4 X 20 TAP DRILL AND CHAMFER"
"8142","5/16X18 TAP DRILL .260"" DIA .740"" LOC HEL. DRILL"
"8144","5/16 X 18 TAP DRILL W/.32""X12"" C""BORE"
"8145","HOLLOW MILL 1.615/1.635"""
"8146","1.850 ROUGH PISTON AND CHAMFER"
"8147","1.662 ROUGH PISTON AND CHAMFER"
"8148","1.600 ROUGH PISTON AND CHAMFER"
"8149","1.537 ROUGH PISTON AND CHAMFER"
"8151","1.475 ROUGH PISTON AND CHAMFER"
"8152","1.412 ROUGH PISTON AND CHAMFER"
"8153","1.350 ROUGH PISTON AND CHAMFER"
"8154","53MM X 457.20MM 2F2H"
"8155","MILL MANDREL FOR CTC/BMW FIXTURE"
"8156","LATHE MANDREL"
"8157","LATHE DRAW BOLT"
"8158","MILL DRAW BOLT"
"8161","3/4-16 4 FL TAP"
"8162","11/16"" DRILL TIP #0 GEN2 T-A AM200"
"8163","#7 C3 AM200 PORT INSERT"
"8167","CARTRIDGE"
"8177","COMBO TOOL BUSHING HOLE"
"8178","COMBO TOOL BUSHING HOLE"
"8179","EDP# 09926"
"8180","EDP# 09924"
"8182","EDP# 36366"
"8183","6"" FACEMILL EDP# 43747"
"8184","STEP DRILL 5/8 DIA 1.120 LENGTH OF CUT"
"8186","11.1 X 12 X 162 X 114"
"8188","3/16 X 3.543"
"8189","8.2MM X 25MM DEEP 3/8-16 TAP DRILL"
"8191","#8 PORT TOOL W/EXTENDED MINOR DIA."
"8193","SPRINGS FOR LO-11180-504"
"8194","SPRINGS FOR LO-11180-505"
"8195","SPRINGS FOR LO-11180-508"
"8196","SPRINGS FOR LO-11180-502"
"8197","SPRINGS FOR LO-11180-506"
"8198","SPRINGS FOR LO-11180-507"
"8199","SPRINGS FOR LO-11180-503"
"8201","25/32 GEN 2 DRILL TIP"
"8202",".5/32 DRILL"
"8203","10-24 BH3 STR FL THREADSAVER BOTTOM TAP"
"8204","M4 THDS X 50.00MM LONG"
"8206","INSERT   EDP 15947"
"8207","1150-0-84 LAMPING SCREW T20"
"8209","ADJUSTING SCREW MULTIMILL M6-4MM HEX"
"8210","CL-311-RLT"
"8211","CL-311-DLT"
"8212","CL-3-DPY"
"8213","FLAT TOP INSERT"
"8214","FLAT TOP INSERT"
"8215","INSERT"
"8218","CARTRIDGE SCREW-MULTIMILL M8-6MM"
"8219","1/2"" SLIM FIT 6-5"" WITH WRENCH"
"8223","INSERT   EDP# 19552"
"8224","INSERT   EDP 15895"
"8225","SLIM FIT 6-3MM COLLET"
"8226","6"" MULTIMILL BODY"
"8228","REAMER"
"8229",".25"" ENDMILL"
"8230","COLLET"
"8231","PLUNGE MILL"
"8235",".469 DRILL (15/32)"
"8237","INSERT"
"8239",".625 ENDMILL"
"8240",".750 ENDMILL"
"8242",".375 REAMED HOLES"
"8245","EDP# 78561"
"8248","INSERT"
"8249","INSERT"
"8251","CARBIDE FORM GROOVER LH INSERT"
"8255","MILLING INSERT - REPLACES IN 1530"
"8256","ROUGH BORE & STRADDLE MILL"
"8257","SPRING LOADED PUSHER"
"8262","2GKW4"
"8263","90 DEG WINGS FOR SHOWA"
"8266","3/8 HEAT SHRINK EXTENTION WITH COLLET"
"8267","PLUNGER"
"8268","SAFETY STOP FOR BOLT"
"8269","PLUNGER HOUSING"
"8270","CAP FOR SAFETY STOP"
"8272","HYDRAULIC CHUCK"
"8273","38.1MM shellmill holder 101.6MM projection CAT50"
"8274","COMBO BORE"
"8276","STEP DRILL"
"8277","STEP DRILL"
"8278","COMBO BORE"
"8280","STEP DRILL"
"8281","DRILL"
"8282","SPOTFACE INSERT"
"8283","SPOTFACE PILOT"
"8284","SPOTFACE TOOL"
"8285","TAPER REAMER"
"8287","INSERT"
"8288","BORING BAR"
"8289","G-DRILL 10.5MM THRU 14MM C'BORE"
"8290","INSERT CARTRIDGE"
"8291","EDP# 5101040"
"8293","12.5MM G-DRILL 130MM LOF"
"8302","16.5MM DRILL TIP"
"8303","DRILL BODY"
"8309","INSERT"
"8310","WIPER INSERT"
"8311","INSERT SCREW"
"8312","MILL CARTRIDGE"
"8314","K-BODY STONES (400 grit)"
"8316","SEAL KIT 21-1210-02"
"8318","INSERT  REPLACED IN2005"
"8319","PLUNGE MILL"
"8321","INSERT"
"8326","53MM EXPANSION REAMER"
"8327","INSERT"
"8328","INSERT"
"8329","ALUMINUIM INSERT  EDP 15731"
"8330","ALUMINUIM INSERT   EDP 15710"
"8333","8.33MM DIA 24.13MM LOC SOLID CARBIDE G-DRILL"
"8335","29MM 5X GENESIS DRILL BODY"
"8336","FIXTURE COLLET"
"8337","REPLACED  TT7310"
"8341","1.25 ENDMILL HOLDER"
"8343","SHIM"
"8348","G-DRILL"
"8349","G-DRILL"
"8356","DRAW BOLT FOR NOSE CONE"
"8358","CERMET INSERT"
"8360","1.375 ROUGH BORE TOOL"
"8361","ROUGH BORE AND FINISH C'BORE"
"8362","ROMICRON CARTRIDGE"
"8364","THREAD MILL"
"8365","COLLET"
"8366","INSERT   19463"
"8368",".015 RAD CORNER EDP# 31619"
"8369","CYLINDER FOR VTL"
"8370","LEVER HANDLES FOR 56-0006-03"
"8371","15/32 DRILL"
"8374","60-2102-00"
"8375","7/16 COLLET"
"8378","STUD MACHINE DRIVER"
"8380","FILTERS FOR CYLINDER BOTTOMS"
"8381","CARTRIDGE PART"
"8383","5.2MM DRILLReplaced A3399XPL-5.2"
"8385","CAT 40 1.25  HEAT SHRINK HOLDER"
"8387","BORING BAR"
"8389","SANDVIK INSERTS"
"8391","16MM Slim EM Holder"
"8397","HARLEY COLLET"
"8398","66MM COLLET SEALED"
"8399","64MM SEALED COLLET"
"8400","62MM SEALED COLLET"
"8401","COLLET"
"8402","COLLET"
"8403","MULTI-OP BORING TOOL"
"8406","MULTI-OP BORING TOOL"
"8407","MULTI-OP BORING TOOL"
"8409","TAPER REAMER"
"8410","TAPER REAMER"
"8411","5MM DIA W/ 30.0MM STEP LENGTH-30DEG HELIX"
"8412","8.3MM DRILL DIA. W 85MM STEP LENGTH-40 DEG HELIX"
"8413","8.3MM DIA W/ 100MM STEP LENGTH-40 DEGREE"
"8414","5.50MM DIA. W/ 19MM STEP LENGTH"
"8415","BRONZE FINGER"
"8416","MULTI-OP BORING TOOL"
"8417","CHECK VALVES"
"8418","25MM shrinkfit holder 101.6MM projetion CAT50"
"8419","7/8 Shrink Fit Holder"
"8420","1"" Indexable Drill"
"8421","1.5"" DECAMILL"
"8422","Insert"
"8423","14MM Shrinkfit holder 34MM projection CAT 50"
"8424","8mm Shrink Fit  EDP 66394"
"8425","10mm Shrink Fit"
"8426","1/8"" Pipe tap collet SS"
"8429","Shell Mill Holder  EDP 01272"
"8431","ALUMINUM GRADE EDP# 5512986"
"8433","3"" FACE MILL"
"8434","CHAMFER MILL"
"8435","Insert"
"8436","JD SHANK LOCATOR"
"8437","MILL INSERTS"
"8438","TOYODA FA 450 RETENTION KNOBS"
"8442","TURBO ETCHER STYLUS"
"8443","TURBO T-NUTS"
"8444","TURBO TOP JAW"
"8445","BUSHING LINER FOR CTC STUD PRESS"
"8446","TOOLHOLDER BUSHING"
"8447","TOOLHOLDER BUSHING"
"8448","TOOLHOLDER BUSHING"
"8453","TOOL HOLDER"
"8456","INSERT"
"8460","INSERT"
"8461","BLADE"
"8462","SHANK"
"8463","BLADE"
"8464","INSERT"
"8472","INSERT"
"8473","Drill Body"
"8474","Drill Body"
"8475","Gen3 Drill Tip"
"8476","Gen3 Drill Tip"
"8477","Gen 3 Drill Tip"
"8479","Drill Body"
"8480","Drill Body"
"8484","Insert"
"8485","Insert (REPLACES :CDE323L022 IN1530)"
"8486","Metric Cat50 Okuma Ret Knob  EDP 44001 OR 56292"
"8488","Cermet Insert"
"8492","EDP# 34801"
"8493","EDP# 06517"
"8495","REST BUTTON"
"8496","1.00"" SHRINK FIT HOLDER 3"" PROJECTION"
"8497","EDP# 23983"
"8498","TPDR .485 X 2.6525FL X 5.562 2FL CF"
"8500","INSERT"
"8501","EDP 58608"
"8502","BRONZE FINGER"
"8504","REVOLUTION DRILL"
"8505","INSERT"
"8506","CARTRIDGE FIXED"
"8507","CARTRIDGE-ADJUSTABLE"
"8508","MOUNTING SCREW"
"8509","ADJUSTING SCREW"
"8512","EDP 72478"
"8513","GRAFLEX EXTENSION"
"8514","INSERT SCREW"
"8517","LOCK PIN"
"8518","INSERT SCREW"
"8519","80MM FACE MILL"
"8521","CLYLINDER"
"8522","6.3MM DRILL"
"8523","IMPACT BRACKETS LH/RH SEALED COLLETS"
"8525","5/16 SHRINK FIT HOLDER"
"8526","16MM HYDRAULIC CHUCK"
"8527","2"" MILL"
"8528","INSERTS"
"8531","DETAILS"
"8535","5.0MM DIA. DRILL"
"8537","HELICAL MILL   EDP# 46679"
"8538","HELICAL MILL  EDP# 46671"
"8539","50.8MM EM holder 136.4MM projection CAT50"
"8540","SHIM"
"8541","INSERTS"
"8542","INSERT  EDP 23911"
"8545","ROUGH BORE/CHAMFER"
"8546","TWIN FINISH BAR"
"8548","ROUGH BORE/CHAMFER"
"8549","ROUGH BOREC/CHAMFER"
"8550","TWIN FINISH BAR"
"8551","INDEXABLE DRILL"
"8552","17.10MM DIA. W/ 12MM STEP LENGTH"
"8553","DRILL"
"8554","DRILL"
"8555","DRILL"
"8557","CONTACT BOLT FOR 10-0806-06 CYLINDERS"
"8558","33.4 +/- 0.5 SEALED COLLET"
"8560","11.11MM STEP DRILL"
"8562","5/16 6 FLUTE ENDMILL"
"8563","2"" MILLING CUTTER  EDP 1204994"
"8566","8.3MM DRILL"
"8570",".203"" SEALED COLLET"
"8571","10.20MM DRILL DIA. W/ 42MM STEP LENGTH"
"8572","DRILL"
"8573","SPOTFACE INSERTS"
"8574","SPOTFACE TOOL"
"8575","DRILL"
"8576","DRILL"
"8577","FINISH BORING TOOL"
"8578","REVERSE TAPER REAMER"
"8579","ROUGH BORE AND CHAMFER"
"8580","BORING TOOL"
"8581","DRILL"
"8582","SPOTFACE TOOL"
"8583","PILOT"
"8584","SPOTFACE INSERT"
"8587","SPOTFACE PILOT"
"8588","SPOTFACE INSERTS"
"8589","SPOTFACE TOOL"
"8594","1/2"" END MILL HOLDER"
"8596","17.650MM DIA.W/11 MM STEP L &19.680MM DIA W/29MM L"
"8597","16MM Shrink fit holder 88.9MM LPR CAT40ADB"
"8598","SHRINK FIT HOLDER"
"8599","SHRINK FIT HOLDER"
"8600","DISC MILL"
"8601","INSERTS"
"8602","INSERT SCREW"
"8603","11.11MM STEP DRILL 42MM NOSE LENGTH"
